site,date,soil_resp,soil_resp_err,classification
STEI,2017-08-01T00:00:00Z,7.572007821242994,5.871033503890717,ww
STEI,2017-08-02T00:00:00Z,7.794913274243285,6.039843943135217,ww
STEI,2017-08-03T00:00:00Z,6.5397775423982,4.805726135190973,ww
STEI,2017-08-04T00:00:00Z,7.299721724887533,5.647546967674346,ww
STEI,2017-08-05T00:00:00Z,7.749858538770301,5.801725083475322,ww
STEI,2017-08-06T00:00:00Z,7.842079507191814,6.39458838827058,ww
STEI,2017-08-07T00:00:00Z,7.853887960505789,5.998787959658221,ww
STEI,2017-08-08T00:00:00Z,7.682884473458864,6.036734835667617,ww
STEI,2017-08-09T00:00:00Z,7.663543872117238,5.625825694902025,ww
STEI,2017-08-10T00:00:00Z,7.952034123814961,6.009238977890477,ww
STEI,2017-08-11T00:00:00Z,9.339390083922398,7.42529454957853,ww
STEI,2017-08-12T00:00:00Z,8.475733068004724,7.034762986818765,ww
STEI,2017-08-13T00:00:00Z,7.93575623035402,6.14423920751131,ww
STEI,2017-08-14T00:00:00Z,7.479486422038287,5.271176887290815,ww
STEI,2017-08-15T00:00:00Z,8.417369352294708,6.850514116950262,ww
STEI,2017-08-16T00:00:00Z,9.053007313902949,5.400635049493835,ww
STEI,2017-08-17T00:00:00Z,8.944977551130314,8.235236632292484,ww
STEI,2017-08-18T00:00:00Z,10.24398323352926,7.266998240168128,ww
STEI,2017-08-19T00:00:00Z,10.0407731273843,6.255519220651533,ww
STEI,2017-08-20T00:00:00Z,9.85230247243308,7.761419199544577,ww
STEI,2017-08-21T00:00:00Z,9.647427614181588,4.859589296076747,ww
STEI,2017-08-22T00:00:00Z,10.7032188303803,3.848247304806062,ww
STEI,2017-08-23T00:00:00Z,10.007272129703752,8.604557612167092,ww
STEI,2017-08-24T00:00:00Z,9.17181692993747,4.7509913906029535,ww
STEI,2017-08-25T00:00:00Z,8.436607148787537,6.3966127493749045,ww
STEI,2017-08-26T00:00:00Z,8.178877092904155,5.103708128879184,ww
STEI,2017-08-27T00:00:00Z,8.179756332831335,6.650123612286592,ww
