ID,NAME,Latitude,Longitude
NEON.D05.STEI.DP1.00033,STEI,45.50894,-89.58637
NEON.D05.TREE.DP1.00033,TREE,45.49373,-89.58572
NEON.D05.UNDE.DP1.00033,UNDE,46.23391,-89.537254
downerwoods,DOWN,43.07938,-87.88076
macordway,MACO,44.8106,-93.0272
sanford,SANF,42.726777,-84.464482
sylvania,SYLV,46.242,-89.348
umichbiological,UMB1,45.55984,-84.71382
umichbiological2,UMB2,45.5625,-84.6976
uwmfieldsta,UWMF,43.38709,-88.0229
willowcreek,WILL,45.805986,-90.07912
